address1,address2,buldNm,elevatorNo,elvtrStts,lastInspctDe,liveLoad,manufacturerTelno
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150041,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150042,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150136,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150137,운행중,2021-09-15,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150138,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150139,운행중,2021-09-15,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150068,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150069,운행중,2021-09-15,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150046,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰1단지아파트,DMC SK뷰1단지아파트,0150343,운행중,2021-09-30,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150181,운행중,2021-09-15,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150182,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150183,운행중,2021-09-15,1000 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150184,운행중,2021-09-15,1150 KG,02-2610-7869
서울특별시 은평구 수색로 216,DMC SK뷰2단지주상복합,DMC SK뷰2단지주상복합,0150344,운행중,2021-09-30,1000 KG,02-2610-7869
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152585,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152587,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152584,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152586,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0152612,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150171,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150172,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150173,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150174,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150193,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150194,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150188,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150189,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150190,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150191,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150235,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150236,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150233,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150234,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150414,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150415,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150416,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150417,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150418,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150419,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150420,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150491,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150492,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150493,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150486,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150487,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150488,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150331,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150332,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC 센트럴자이,0150333,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로22가길 5-1,"(수색동, DMC 갤러리아 B)",DMC갤러리아B동,0146088,운행중,2022-11-02,1000 KG,043-722-1000
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136895,운행중,2022-09-05,1350 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136896,운행중,2022-09-05,1350 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136825,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136826,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136827,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138748,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138749,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138750,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136921,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136922,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136923,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136924,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138717,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138715,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138716,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138718,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0143710,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136999,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0137000,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0137001,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136991,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136992,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136993,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0137002,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0137003,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0137004,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0136994,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138751,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138752,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138753,운행중,2022-09-05,1150 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138690,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138691,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138692,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트,0138697,운행중,2022-09-05,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트상가,0143713,운행중,2022-07-26,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트상가,0143714,운행중,2022-08-25,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트상가,0143715,운행중,2022-07-26,1000 KG,02-2610-7869
서울특별시 은평구 수색로 300, ,DMC롯데캐슬더퍼스트상가,0143716,운행중,2022-08-25,1000 KG,02-2610-7869
서울특별시 은평구 증산로13길 44-5,(증산동),DMC문영퀸즈파크아파트,0003235,운행중,2022-04-13,1000 KG,043-722-1000
서울특별시 은평구 증산로13길 44-5,(증산동),DMC문영퀸즈파크아파트,0003236,운행중,2022-04-13,1000 KG,043-722-1000
서울특별시 은평구 증산로13길 44-5,(증산동),DMC문영퀸즈파크아파트,0003238,운행중,2022-04-13,1000 KG,043-722-1000
서울특별시 은평구 증산로13길 44-5,(증산동),DMC문영퀸즈파크아파트,0003237,운행중,2022-04-13,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC센트럴자이주상복합4단지,0150195,운행중,2022-03-08,1150 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC센트럴자이주상복합4단지,0150428,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC센트럴자이주상복합4단지,0150429,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC센트럴자이주상복합4단지,0150304,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC센트럴자이주상복합4단지,0150305,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 수색로 200, ,DMC센트럴자이주상복합4단지,0150334,운행중,2022-03-08,1000 KG,043-722-1000
서울특별시 은평구 증산로 333,(증산동),DMC월드아파트,0002997,운행중,2022-03-28,1000 KG,043-722-1000
서울특별시 은평구 증산로 333,(증산동),DMC월드아파트,0002995,운행중,2022-03-28,1000 KG,043-722-1000
서울특별시 은평구 증산로 333,(증산동),DMC월드아파트,0002996,운행중,2022-03-28,1000 KG,043-722-1000
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039213,운행중,2022-04-06,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039215,운행중,2022-04-06,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039216,운행중,2022-04-06,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039218,운행중,2022-04-06,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039217,운행중,2022-10-14,750 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039731,운행중,2022-10-14,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039729,운행중,2022-10-14,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039730,운행중,2022-10-14,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039214,운행중,2022-04-06,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지,0039219,운행중,2022-04-06,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0068105,운행중,2022-09-13,2600 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0068106,운행중,2022-09-13,2600 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0068101,운행중,2022-09-13,2600 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0068102,운행중,2022-08-14,2600 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0068103,운행중,2022-09-13,2600 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0068104,운행중,2022-09-13,2600 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0040527,운행중,2022-04-12,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217,(수색동),DMC자이1단지 수색이마트,0040528,운행중,2022-04-12,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217-1,"(증산동, 디엠씨 자이2단지(DMC 자이2단지))",DMC자이2단지,0102829,운행중,2022-04-04,630 KG,02-2610-7869
서울특별시 은평구 수색로 217-1,"(증산동, 디엠씨 자이2단지(DMC 자이2단지))",DMC자이2단지,0042934,운행중,2022-04-04,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217-1,"(증산동, 디엠씨 자이2단지(DMC 자이2단지))",DMC자이2단지,0042935,운행중,2022-04-04,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217-1,"(증산동, 디엠씨 자이2단지(DMC 자이2단지))",DMC자이2단지,0040537,운행중,2022-03-10,1150 KG,02-2610-7869
서울특별시 은평구 수색로 217-1,"(증산동, 디엠씨 자이2단지(DMC 자이2단지))",DMC자이2단지,0040536,운행중,2022-04-04,1150 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038334,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038336,운행중,2022-09-07,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038331,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038340,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038337,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038333,운행중,2022-09-07,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038339,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038332,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038338,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 은평터널로 60,(수색동),DMC진흥아파트,0038335,운행중,2022-10-05,1000 KG,02-2610-7869
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050891,운행중,2022-09-16,900 KG,055-269-4114
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050895,운행중,2022-10-11,900 KG,055-269-4114
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050898,운행중,2022-10-11,900 KG,055-269-4114
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050893,운행중,2022-10-11,900 KG,055-269-4114
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050894,운행중,2022-10-11,900 KG,055-269-4114
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050896,운행중,2022-10-11,900 KG,055-269-4114
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050897,운행중,2022-09-16,900 KG,055-269-4114
서울특별시 은평구 증산로1길 26,(수색동),DMC청구아파트(수색동),0050892,운행중,2022-09-16,900 KG,055-269-4114
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0155002,운행중,2022-07-15,1000 KG,043-722-1000
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0155003,운행중,2022-07-15,1000 KG,043-722-1000
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0155004,운행중,2022-07-11,1000 KG,043-722-1000
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0155005,운행중,2022-07-11,1000 KG,043-722-1000
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0154984,운행중,2022-06-15,1000 KG,043-722-1000
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0154985,운행중,2022-06-15,1000 KG,043-722-1000
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0155230,운행중,2022-10-31,1000 KG,043-722-1000
서울특별시 은평구 수색동 115-5,(수색동),DMC파인시티,0155231,운행중,2022-10-31,1000 KG,043-722-1000
